NAME,CITYADCODE,PROADCODE,PRONAME,extent_wgs
北京市,110100,110000,北京市,"115.41736,41.059218|117.500181,39.438333"
天津市,120100,120000,天津市,"116.702065,40.251874|118.063097,38.554742"
石家庄市,130100,130000,河北省,"113.516072,38.763915|115.477337,37.438505"
唐山市,130200,130000,河北省,"117.5056,40.463626|119.442376,38.899751"
秦皇岛市,130300,130000,河北省,"118.562482,40.611529|119.857535,39.428312"
邯郸市,130400,130000,河北省,"113.45566,37.021865|115.47819,36.049013"
邢台市,130500,130000,河北省,"113.753705,37.805799|115.84722,36.753669"
保定市,130600,130000,河北省,"113.760561,39.950925|116.329159,38.236842"
张家口市,130700,130000,河北省,"113.818738,42.147176|116.459359,39.555034"
承德市,130800,130000,河北省,"115.902009,42.615967|119.246741,40.190784"
沧州市,130900,130000,河北省,"115.696844,38.944323|117.99235,37.470048"
廊坊市,131000,130000,河北省,"116.110692,40.084317|117.253662,38.47307"
衡水市,131100,130000,河北省,"115.185373,38.369808|116.559363,37.059401"
太原市,140100,140000,山西省,"111.509454,38.420599|113.149497,37.455515"
大同市,140200,140000,山西省,"112.572931,40.741799|114.556471,39.047151"
阳泉市,140300,140000,山西省,"112.913465,38.523596|114.038186,37.661391"
长治市,140400,140000,山西省,"111.97527,37.124264|113.732939,35.823399"
晋城市,140500,140000,山西省,"111.933422,36.064404|113.618897,35.203942"
朔州市,140600,140000,山西省,"111.89156,40.297948|113.566051,39.088854"
晋中市,140700,140000,山西省,"111.40194,38.092508|114.133545,36.644089"
运城市,140800,140000,山西省,"110.214562,35.821271|112.075552,34.585548"
忻州市,140900,140000,山西省,"110.93903,39.662633|113.960557,38.131747"
临汾市,141000,140000,山西省,"110.368534,36.934463|112.568316,35.387051"
吕梁市,141100,140000,山西省,"110.370235,38.730794|112.32282,36.731891"
呼和浩特市,150100,150000,内蒙古自治区,"110.512697,41.384074|112.302138,39.587904"
包头市,150200,150000,内蒙古自治区,"109.248939,42.734738|111.438956,40.246781"
乌海市,150300,150000,内蒙古自治区,"106.586513,39.904557|107.175894,39.036026"
赤峰市,150400,150000,内蒙古自治区,"116.360797,45.241199|120.981373,41.283506"
通辽市,150500,150000,内蒙古自治区,"119.23129,45.684839|123.714647,42.243574"
鄂尔多斯市,150600,150000,内蒙古自治区,"106.471425,40.882312|111.456438,37.616631"
呼伦贝尔市,150700,150000,内蒙古自治区,"115.521398,53.333846|126.068507,47.094946"
巴彦淖尔市,150800,150000,内蒙古自治区,"105.195033,42.462144|109.899207,40.16984"
乌兰察布市,150900,150000,内蒙古自治区,"110.331595,43.37763|114.804614,40.162828"
兴安盟,152200,150000,内蒙古自治区,"119.474992,47.655259|123.637038,44.254224"
锡林郭勒盟,152500,150000,内蒙古自治区,"111.147029,46.775418|120.116567,41.573712"
阿拉善盟,152900,150000,内蒙古自治区,"97.172116,42.793787|106.865663,37.405499"
沈阳市,210100,210000,辽宁省,"122.420218,43.040491|123.806719,41.197659"
大连市,210200,210000,辽宁省,"120.915494,40.202627|123.52912,38.249233"
鞍山市,210300,210000,辽宁省,"122.182288,41.566184|123.762726,39.998931"
